Mode,User,Rate,2412, 2427, 2442, 2472, 5180, 5260, 5320, 5400, 5500, 5600, 5700, 5825
CCK,SU,1Mbps,23.5,23.5,23.5,23.5,NA,NA,NA,NA,NA,NA,NA,NA
CCK,SU,2Mbps,23.5,23.5,23.5,23.5,NA,NA,NA,NA,NA,NA,NA,NA
CCK,SU,5.5Mbps,23.0,23.0,23.0,23.0,NA,NA,NA,NA,NA,NA,NA,NA
CCK,SU,11Mbps,23.0,23.0,23.0,23.0,NA,NA,NA,NA,NA,NA,NA,NA
VHT20,SU,MCS0,23.0,23.0,23.0,23.0,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT20,MU,MCS0,23.0,23.0,23.0,23.0,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT20,SU,MCS1,22.5,22.5,22.5,22.5,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT20,MU,MCS1,22.5,22.5,22.5,22.5,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT20,SU,MCS2,22.0,22.0,22.0,22.0,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT20,MU,MCS2,22.0,22.0,22.0,22.0,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT20,SU,MCS3,22.0,22.0,22.0,22.0,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT20,MU,MCS3,22.0,22.0,22.0,22.0,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT20,SU,MCS4,21.0,21.0,21.0,21.0,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT20,MU,MCS4,21.0,21.0,21.0,21.0,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT20,SU,MCS5,20.0,20.0,20.0,20.0,21.0,21.0,21.0,21.0,19.0,19.0,19.0,19.0,
VHT20,MU,MCS5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,
VHT20,SU,MCS6,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,18.0,18.0,18.0,18.0,
VHT20,MU,MCS6,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,18.0,18.0,18.0,18.0,
VHT20,SU,MCS7,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,
VHT20,MU,MCS7,18.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,
VHT20,SU,MCS8,17.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,16.0,16.0,16.0,16.0,
VHT20,MU,MCS8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,
VHT20,SU,MCS9,15.0,15.0,15.0,15.0,18.0,18.0,18.0,18.0,16.0,16.0,16.0,16.0,
VHT20,MU,MCS9,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,
VHT40,SU,MCS0,22.0,22.0,22.0,22.0,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT40,MU,MCS0,22.0,22.0,22.0,22.0,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT40,SU,MCS1,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT40,MU,MCS1,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT40,SU,MCS2,21.0,21.0,21.0,21.0,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT40,MU,MCS2,21.0,21.0,21.0,21.0,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT40,SU,MCS3,21.0,21.0,21.0,21.0,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT40,MU,MCS3,21.0,21.0,21.0,21.0,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT40,SU,MCS4,20.0,20.0,20.0,20.0,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT40,MU,MCS4,20.0,20.0,20.0,20.0,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT40,SU,MCS5,19.0,19.0,19.0,19.0,21.0,21.0,21.0,21.0,19.0,19.0,19.0,19.0,
VHT40,MU,MCS5,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,
VHT40,SU,MCS6,18.0,18.0,18.0,18.0,20.0,20.0,20.0,20.0,18.0,18.0,18.0,18.0,
VHT40,MU,MCS6,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,18.0,18.0,18.0,18.0,
VHT40,SU,MCS7,17.0,17.0,17.0,17.0,19.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,
VHT40,MU,MCS7,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,
VHT40,SU,MCS8,16.0,16.0,16.0,16.0,18.0,18.0,18.0,18.0,16.0,16.0,16.0,16.0,
VHT40,MU,MCS8,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,
VHT40,SU,MCS9,15.0,15.0,15.0,15.0,18.0,18.0,18.0,18.0,16.0,16.0,16.0,16.0,
VHT40,MU,MCS9,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,
VHT80,SU,MCS0,NA,NA,NA,NA,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT80,MU,MCS0,NA,NA,NA,NA,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT80,SU,MCS1,NA,NA,NA,NA,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT80,MU,MCS1,NA,NA,NA,NA,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT80,SU,MCS2,NA,NA,NA,NA,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT80,MU,MCS2,NA,NA,NA,NA,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT80,SU,MCS3,NA,NA,NA,NA,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT80,MU,MCS3,NA,NA,NA,NA,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT80,SU,MCS4,NA,NA,NA,NA,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT80,MU,MCS4,NA,NA,NA,NA,21.5,21.5,21.5,21.5,19.0,19.0,19.0,19.0,
VHT80,SU,MCS5,NA,NA,NA,NA,21.0,21.0,21.0,21.0,19.0,19.0,19.0,19.0,
VHT80,MU,MCS5,NA,NA,NA,NA,20.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,
VHT80,SU,MCS6,NA,NA,NA,NA,20.0,20.0,20.0,20.0,18.0,18.0,18.0,18.0,
VHT80,MU,MCS6,NA,NA,NA,NA,19.0,19.0,19.0,19.0,18.0,18.0,18.0,18.0,
VHT80,SU,MCS7,NA,NA,NA,NA,19.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,
VHT80,MU,MCS7,NA,NA,NA,NA,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,
VHT80,SU,MCS8,NA,NA,NA,NA,18.0,18.0,18.0,18.0,16.0,16.0,16.0,16.0,
VHT80,MU,MCS8,NA,NA,NA,NA,17.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,
VHT80,SU,MCS9,NA,NA,NA,NA,18.0,18.0,18.0,18.0,16.0,16.0,16.0,16.0,
VHT80,MU,MCS9,NA,NA,NA,NA,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,
VHT160,SU,MCS0,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
VHT160,MU,MCS0,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
VHT160,SU,MCS1,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
VHT160,MU,MCS1,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
VHT160,SU,MCS2,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
VHT160,MU,MCS2,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
VHT160,SU,MCS3,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
VHT160,MU,MCS3,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
VHT160,SU,MCS4,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
VHT160,MU,MCS4,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
VHT160,SU,MCS5,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
VHT160,MU,MCS5,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
VHT160,SU,MCS6,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
VHT160,MU,MCS6,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
VHT160,SU,MCS7,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
VHT160,MU,MCS7,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
VHT160,SU,MCS8,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
VHT160,MU,MCS8,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
VHT160,SU,MCS9,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
VHT160,MU,MCS9,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
